"dates","invoice_no","item_name","price","quantity","sub_total","discount","tax","final_total","table_number","server_name","category"
"2023-09-19","28389","Kulcha","55","1","55","0","2.76","57.76","16","biller","Indian Breads"
"2023-09-19","28389","Parota","30","4","120","0","6","126","16","biller","Indian Breads"
"2023-09-19","28389","Mushroom Masala","150","1","150","0","7.5","157.5","16","biller","Veg Gravy"
"2023-09-19","28389","Paneer Butter Masala","150","1","150","0","7.5","157.5","16","biller","Veg Gravy"
"2023-09-19","28389","Gobi- 65","120","1","120","0","6","126","16","biller","Veg Starters"
"2023-09-19","28389","Mineral Water","20","2","40","0","2","42","16","biller","Deserts & Mocktails"
"2023-09-19","28388","Chilly Fish Dry","199","1","199","0","9.94","208.94","12","biller","NON VEG STARTERS FISH"
"2023-09-19","28388","Fish 65","199","1","199","0","9.94","208.94","12","biller","NON VEG STARTERS FISH"
"2023-09-19","28388","Prawn Chilli","199","1","199","0","9.94","208.94","12","biller","NON VEG STARTERS FISH"
"2023-09-19","28388","Chicken 65 Boneless","190","1","190","0","9.5","199.5","12","biller","NON VEG STARTERS CHICKEN"
"2023-09-19","28388","Chicken Lolly Pop","190","1","190","0","9.5","199.5","12","biller","NON VEG STARTERS CHICKEN"
"2023-09-19","28388","Chicken Biriyani With Raitha And Gravy","160","1","160","0","8","168","12","biller","NON VEG BRIYANI & RICE"
"2023-09-19","28388","Egg Briyani With Raitha And Chicken Gravy","140","2","280","0","14","294","12","biller","NON VEG BRIYANI & RICE"
"2023-09-19","28388","Paneer Noodles","150","1","150","0","7.5","157.5","12","biller","VEG BIRYANI & RICE"
"2023-09-19","28388","Plain Briyani With Raitha, Gravy.","130","1","130","0","6.5","136.5","12","biller","VEG BIRYANI & RICE"
"2023-09-19","28388","Schezwan Mushroom Fried Rice","140","1","140","0","7","147","12","biller","VEG BIRYANI & RICE"
"2023-09-19","28387","Chicken Biriyani With Raitha And Gravy","160","3","480","0","24","504","1","biller","NON VEG BRIYANI & RICE"
"2023-09-19","28387","Chicken Fried Rice","160","1","160","0","8","168","1","biller","NON VEG BRIYANI & RICE"
"2023-09-19","28387","Schewan Chicken Noodle","160","1","160","0","8","168","1","biller","NON VEG BRIYANI & RICE"
"2023-09-19","28387","Schezwan Egg Fried Rice","140","2","280","0","14","294","1","biller","NON VEG BRIYANI & RICE"
"2023-09-19","28387","Chicken 65","160","1","160","0","8","168","1","biller","NON VEG STARTERS CHICKEN"
"2023-09-19","28387","Chicken 65 Boneless","190","1","190","0","9.5","199.5","1","biller","NON VEG STARTERS CHICKEN"
"2023-09-19","28386","Chicken Manchurian Dry","190","1","190","0","9.5","199.5","34","biller","NON VEG STARTERS CHICKEN"
"2023-09-19","28386","Chicken Lolly Pop","190","1","190","0","9.5","199.5","34","biller","NON VEG STARTERS CHICKEN"
"2023-09-19","28386","Prawn Pepper Fry","199","1","199","0","9.94","208.94","34","biller","NON VEG STARTERS FISH"
"2023-09-19","28386","Butter Chicken Gravy","170","1","170","0","8.5","178.5","34","biller","Non Veg Gravy"
"2023-09-19","28386","Schezwan Chicken Gravy","170","1","170","0","8.5","178.5","34","biller","Non Veg Gravy"
"2023-09-19","28386","Butter Naan","60","4","240","0","12","252","34","biller","Indian Breads"
"2023-09-19","28386","Romali Roti (1 No)","50","5","250","0","12.5","262.5","34","biller","Indian Breads"
"2023-09-19","28385","Roti","40","2","80","0","4","84","8","biller","Indian Breads"
"2023-09-19","28385","Butter Naan","60","1","60","0","3","63","8","biller","Indian Breads"
"2023-09-19","28385","Paneer Butter Masala","150","1","150","0","7.5","157.5","8","biller","Veg Gravy"
"2023-09-19","28385","Chicken Noodles","160","1","160","0","8","168","8","biller","NON VEG BRIYANI & RICE"
"2023-09-19","28385","Mineral Water","20","1","20","0","1","21","8","biller","Deserts & Mocktails"
"2023-09-19","28384","Naan","50","3","150","0","7.5","157.5","6","biller","Indian Breads"
"2023-09-19","28384","Paneer Butter Masala","150","1","150","0","7.5","157.5","6","biller","Veg Gravy"
"2023-09-19","28384","Mineral Water","20","1","20","0","1","21","6","biller","Deserts & Mocktails"
"2023-09-19","28383","French Fries","100","1","100","0","5","105","3","biller","Veg Starters"
"2023-09-19","28382","Mineral Water","20","1","20","0","1","21","22","biller","Deserts & Mocktails"
"2023-09-19","28381","Chicken Noodles","160","1","160","0","8","168","50","biller","NON VEG BRIYANI & RICE"
"2023-09-19","28380","Mineral Water","20","1","20","0","1","21","3","biller","Deserts & Mocktails"
"2023-09-19","28379","Veg Noodles","130","1","130","0","6.5","136.5","4","biller","VEG BIRYANI & RICE"
"2023-09-19","28378","Gobi- 65","120","1","120","0","6","126","2","biller","Veg Starters"
"2023-09-19","28378","Chicken 65","160","1","160","0","8","168","2","biller","NON VEG STARTERS CHICKEN"
"2023-09-19","28377","Pulka (2 No)","40","1","40","0","2","42","8","biller","Indian Breads"
"2023-09-19","28377","Kadai Paneer","150","1","150","0","7.5","157.5","8","biller","Veg Gravy"
"2023-09-19","28377","Butter Naan","60","1","60","0","3","63","8","biller","Indian Breads"
"2023-09-19","28376","Pepper Garlic Chicken Soup","90","1","90","0","4.5","94.5","23","biller","Non Veg Soup"
"2023-09-19","28375","Veg Noodles","130","2","260","0","13","273","4","biller","VEG BIRYANI & RICE"
"2023-09-19","28374","Plain Briyani With Raitha, Gravy.","130","1","130","0","6.5","136.5","17","biller","VEG BIRYANI & RICE"
"2023-09-19","28373","Romali Roti (1 No)","50","3","150","0","7.5","157.5","16","biller","Indian Breads"
"2023-09-19","28373","Paneer Butter Masala","150","1","150","0","7.5","157.5","16","biller","Veg Gravy"
"2023-09-19","28373","Gobi- 65","120","1","120","0","6","126","16","biller","Veg Starters"
"2023-09-19","28373","Singapore Noodles Veg","130","1","130","0","6.5","136.5","16","biller","VEG BIRYANI & RICE"
"2023-09-19","28373","Chicken Biriyani With Raitha And Gravy","160","1","160","0","8","168","16","biller","NON VEG BRIYANI & RICE"
"2023-09-19","28373","Dragon Chicken","190","1","190","0","9.5","199.5","16","biller","NON VEG STARTERS CHICKEN"
"2023-09-19","28373","Chicken Lolly Pop","190","1","190","0","9.5","199.5","16","biller","NON VEG STARTERS CHICKEN"
"2023-09-19","28373","Chicken Chettinad Gravy","170","1","170","0","8.5","178.5","16","biller","Non Veg Gravy"
"2023-09-19","28372","Chicken Biriyani With Raitha And Gravy","160","1","160","0","8","168","4","biller","NON VEG BRIYANI & RICE"
"2023-09-19","28371","Plain Briyani With Raitha, Gravy.","130","1","130","0","6.5","136.5","11","biller","VEG BIRYANI & RICE"
"2023-09-19","28370","Mineral Water","20","1","20","0","1","21","3","biller","Deserts & Mocktails"
"2023-09-19","28369","Butter Milk","40","1","40","0","2","42","2","biller","Deserts & Mocktails"
"2023-09-19","28369","Fresh Lemon Juice","35","1","35","0","1.76","36.76","2","biller","Deserts & Mocktails"
"2023-09-19","28368","Romali Roti (1 No)","50","2","100","0","5","105","2","biller","Indian Breads"
"2023-09-19","28368","Paneer Butter Masala","150","1","150","0","7.5","157.5","2","biller","Veg Gravy"
"2023-09-19","28368","Veg Fried Rice","130","1","130","0","6.5","136.5","2","biller","VEG BIRYANI & RICE"
"2023-09-19","28367","Plain Briyani With Raitha, Gravy.","130","2","260","0","13","273","9","biller","VEG BIRYANI & RICE"
"2023-09-19","28367","Pepper Chicken Gravy","170","1","170","0","8.5","178.5","9","biller","Non Veg Gravy"
"2023-09-19","28366","Prawn Fried Rice","170","1","170","0","8.5","178.5","4","biller","NON VEG BRIYANI & RICE"
"2023-09-19","28366","Singapore Fried Rice Veg","130","1","130","0","6.5","136.5","4","biller","VEG BIRYANI & RICE"
"2023-09-19","28365","Chicken Fried Rice","160","1","160","0","8","168","5","biller","NON VEG BRIYANI & RICE"
"2023-09-19","28365","Chicken 65","160","1","160","0","8","168","5","biller","NON VEG STARTERS CHICKEN"
"2023-09-19","28364","Dragon Chicken","190","1","190","0","9.5","199.5","15","biller","NON VEG STARTERS CHICKEN"
"2023-09-19","28364","Veg Fried Rice","130","1","130","0","6.5","136.5","15","biller","VEG BIRYANI & RICE"
"2023-09-19","28363","Chapathi (2 No)","50","3","150","0","7.5","157.5","13","biller","Indian Breads"
"2023-09-19","28363","Green Peas  Masala","150","1","150","0","7.5","157.5","13","biller","Veg Gravy"
"2023-09-19","28363","Paneer Butter Masala","150","1","150","0","7.5","157.5","13","biller","Veg Gravy"
"2023-09-19","28363","Chapathi (2 No)","50","1","50","0","2.5","52.5","13","biller","Indian Breads"
"2023-09-19","28362","Romali Roti (1 No)","50","5","250","0","12.5","262.5","3","biller","Indian Breads"
"2023-09-19","28362","Pepper Chicken Gravy","170","1","170","0","8.5","178.5","3","biller","Non Veg Gravy"
"2023-09-19","28362","Paneer Butter Masala","150","1","150","0","7.5","157.5","3","biller","Veg Gravy"
"2023-09-19","28362","Baby Corn 65","160","1","160","0","8","168","3","biller","Veg Starters"
"2023-09-19","28362","Chicken Biriyani With Raitha And Gravy","160","1","160","0","8","168","3","biller","NON VEG BRIYANI & RICE"
"2023-09-19","28362","Chicken Fried Rice","160","1","160","0","8","168","3","biller","NON VEG BRIYANI & RICE"
"2023-09-19","28362","Mineral Water","20","1","20","0","1","21","3","biller","Deserts & Mocktails"
"2023-09-19","28361","Egg Briyani With Raitha And Chicken Gravy","140","2","280","0","14","294","4","biller","NON VEG BRIYANI & RICE"
"2023-09-19","28361","Paneer Pulao","140","2","280","0","14","294","4","biller","VEG BIRYANI & RICE"
"2023-09-19","28361","Soft Drink 600ml","40","1","40","0","2","42","4","biller","Deserts & Mocktails"
"2023-09-18","28360","Baby Corn Pepper Fry","160","1","160","0","8","168","4","biller","Veg Starters"
"2023-09-18","28360","Dragon Mushroom","160","1","160","0","8","168","4","biller","Veg Starters"
"2023-09-18","28360","French Fries","100","1","100","0","5","105","4","biller","Veg Starters"
"2023-09-18","28360","Hydrabadi Veg Biriyani","130","1","130","0","6.5","136.5","4","biller","VEG BIRYANI & RICE"
"2023-09-18","28360","Jeera Peas Pulao","130","1","130","0","6.5","136.5","4","biller","VEG BIRYANI & RICE"
"2023-09-18","28360","Chicken Biriyani With Raitha And Gravy","160","1","160","0","8","168","4","biller","NON VEG BRIYANI & RICE"
"2023-09-18","28360","Chicken Fried Rice","160","1","160","0","8","168","4","biller","NON VEG BRIYANI & RICE"
"2023-09-18","28360","Naan","50","1","50","0","2.5","52.5","4","biller","Indian Breads"
"2023-09-18","28360","Lachha Paratha","60","1","60","0","3","63","4","biller","Indian Breads"
"2023-09-18","28360","Garlic Roti","50","1","50","0","2.5","52.5","4","biller","Indian Breads"
